experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,dice,20,-0.14095679076754847,-0.13848334694792996,0.056201338920714286,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,f1_score,20,-0.14095679076754847,-0.13848334694792996,0.056201338920714286,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,iou,20,-0.15109294420179317,-0.15742028816720754,0.060546287790615924,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,precision,20,0.060130361262645406,0.055873432161331504,0.06608957417576317,15,0,5
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,recall,20,-0.2509478703799565,-0.2408643726601393,0.05696839519490053,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,specificity,20,0.021395968907210145,0.021167045541838736,0.012664461552934155,20,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,accuracy,20,0.014939197166469919,0.006148760330578651,0.027730895941688993,13,0,7
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,balanced_accuracy,20,-0.14337813132022634,-0.15229388796269572,0.042835629002639077,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,dice,20,-0.07009881117567038,-0.0902363572034729,0.1100592460699375,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,f1_score,20,-0.07009881117567038,-0.0902363572034729,0.1100592460699375,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,iou,20,-0.07965956287909913,-0.10051216578930633,0.1109487129560721,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,precision,20,0.15655258105948472,0.13029510523532967,0.10745554164061352,19,0,1
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,recall,20,-0.3300673245698093,-0.3452748865039136,0.07646129502050084,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,specificity,20,0.04331106192935659,0.03451734852831201,0.02318945222171285,20,0,0
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,accuracy,20,0.013207792207792207,0.005740259740259823,0.0249138934486598,13,0,7
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,balanced_accuracy,20,-0.14406431051831073,-0.15353542661338715,0.042190295819354025,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,dice,20,-0.07420110554852746,-0.09199141955067036,0.1046034631563844,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,f1_score,20,-0.07420110554852746,-0.09199141955067036,0.1046034631563844,3,0,17
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,iou,20,-0.08336879533542174,-0.1026700507353289,0.10675764838495214,3,0,17
