comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,balanced_accuracy,28,-0.12910188674000606,-0.12678283716885502,0.032752811788693555
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,dice,28,-0.24645213279775402,-0.2607678083381676,0.04845239888383376
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,f1_score,28,-0.24645213279775402,-0.2607678083381676,0.04845239888383376
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,iou,28,-0.19634519514674212,-0.20339090165215495,0.041914327012137265
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,precision,28,0.006081987902007725,0.003654288807023065,0.07684409915712632
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,recall,28,-0.26790285307461603,-0.263458355858585,0.06831021801989383
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,specificity,28,0.009699079594603937,0.00814667041090289,0.004099999543363841
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,accuracy,28,-0.009167575313408656,-0.009332248915582264,0.004790553984617833
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.12910296951035138,-0.12678706933057554,0.032752251366163485
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,dice,28,-0.2464778351609643,-0.2608632181003564,0.04844128438432548
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,f1_score,28,-0.2464778351609643,-0.2608632181003564,0.04844128438432548
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,iou,28,-0.19636833512965585,-0.20341979863810666,0.04190448434491887
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,precision,28,0.00599028082721175,0.003365834645035537,0.07683316455848795
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,recall,28,-0.26789815157105806,-0.263458355858585,0.06831381164817063
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,specificity,28,0.009692212550355359,0.008125996177024808,0.004102637950298411
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,accuracy,20,-0.021091524334967256,-0.020842980117736498,0.01036878927320165
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,balanced_accuracy,20,-0.11799279072528543,-0.11401740612701472,0.02558227995879853
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,dice,20,-0.25007975343520783,-0.24668068462812115,0.06525461855397292
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,f1_score,20,-0.25007975343520783,-0.24668068462812115,0.06525461855397292
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,iou,20,-0.20433877928391073,-0.1993824687603245,0.0521609970362518
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,precision,20,0.033011727260324426,0.007853626140344572,0.08705534882344053
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,recall,20,-0.247323291677456,-0.23582679372350301,0.0525324643973218
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,specificity,20,0.011337710226885128,0.0087229449927268,0.005988093261372486
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,accuracy,20,-0.021106219783010405,-0.020842980117736498,0.010353157560095807
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,balanced_accuracy,20,-0.11810922111620062,-0.11401740612701472,0.025515427794850797
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,dice,20,-0.2504410488214871,-0.2466818775485078,0.06509538801957272
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,f1_score,20,-0.2504410488214871,-0.2466818775485078,0.06509538801957272
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,iou,20,-0.20455977111802953,-0.1993824687603245,0.052019432640618486
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,precision,20,0.03304042061685829,0.008714857597483139,0.08711785735694821
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,recall,20,-0.24757380645281826,-0.23582679372350301,0.052414878254130326
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,specificity,20,0.011355364220417007,0.008750674454018947,0.0059846459386287834
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,accuracy,20,-0.010891971664698968,-0.011076741440377902,0.008903289914871675
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,balanced_accuracy,20,-0.1407362609001621,-0.13916028909786055,0.03749739412508308
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,dice,20,-0.2603279511013389,-0.26946038489505597,0.08653312675752858
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,f1_score,20,-0.2603279511013389,-0.26946038489505597,0.08653312675752858
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,iou,20,-0.21447520317702407,-0.21109583939848045,0.07066947240019002
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,precision,20,0.09283496974475772,0.11325881441680596,0.15542552384763694
