experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,dice,28,-0.016904396846892655,-0.0173367810705074,0.013923966862163873,3,0,25
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,f1_score,28,-0.016904396846892655,-0.0173367810705074,0.013923966862163873,3,0,25
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,iou,28,-0.016206169713813372,-0.016562100262782847,0.013392982788056862,3,0,25
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,precision,28,0.015732942364281844,0.01809502865713633,0.012727028382928522,25,0,3
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,recall,28,-0.07652126412976225,-0.07383262018248243,0.017529296692523663,0,0,28
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,specificity,28,0.009697891262323288,0.01029283895235461,0.0031366474439148994,28,0,0
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,accuracy,20,-0.0338946577738617,-0.033447633041710334,0.008739447240559677,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,balanced_accuracy,20,-0.0656774358051545,-0.06879730065038031,0.017987304339772626,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,dice,20,-0.12548257938966237,-0.12559359046599103,0.03162592761280715,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,f1_score,20,-0.12548257938966237,-0.12559359046599103,0.03162592761280715,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,iou,20,-0.13576975226782426,-0.13827836401662916,0.037027573585556604,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,precision,20,-0.14818772919495232,-0.15239537568508643,0.04485638195897883,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,recall,20,-0.10734497329345753,-0.10774471363812088,0.03537772445696752,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,specificity,20,-0.0240098983168514,-0.025893148092670792,0.008776383950406072,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,accuracy,20,-0.025114341134254103,-0.02521411019604608,0.0068180103849965,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,balanced_accuracy,20,-0.06430201618080925,-0.06716469040500217,0.017261845274502786,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,dice,20,-0.10853114014007574,-0.10963517281302085,0.02752869470436477,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,f1_score,20,-0.10853114014007574,-0.10963517281302085,0.02752869470436477,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,iou,20,-0.11875970781016001,-0.12040398762410068,0.03244603453912042,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,precision,20,-0.10484076336257683,-0.1064414979032961,0.03532145358909402,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,recall,20,-0.11590527564481885,-0.11786904882029975,0.03424598650877707,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,specificity,20,-0.012698756716799636,-0.014229348233813222,0.006373556442101431,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,accuracy,20,-0.025449940968122774,-0.030148760330578395,0.017718781560249922,2,0,18
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,balanced_accuracy,20,-0.09592019238325429,-0.09327743996471682,0.031047030673690017,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,dice,20,-0.13825187569992545,-0.1455489990172889,0.07071329501198197,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,f1_score,20,-0.13825187569992545,-0.1455489990172889,0.07071329501198197,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,iou,20,-0.14349020619700797,-0.14987141882367913,0.08067726090940057,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,precision,20,-0.11910612859682072,-0.12253072100173909,0.07507509265526004,0,0,20
