dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
DRIVE,28,APSRG Baseline,0.9222749607393754,0.7288322316650928,0.7188984445341364,0.955847230906426,0.7238312571312462,0.5671908681167941,0.0441527690935741,0.2811015554658636,0.8373728377202811,0.7238312571312462
DRIVE,28,CA-APSRG,0.9222749607393754,0.7288322316650928,0.7188984445341364,0.955847230906426,0.7238312571312462,0.5671908681167941,0.0441527690935741,0.2811015554658636,0.8373728377202811,0.7238312571312462
DRIVE,29,APSRG Baseline,0.9269716553238104,0.6763457884737175,0.7700266782031869,0.9487851441341678,0.7201523989345561,0.5626860560077979,0.0512148558658322,0.229973321796813,0.8594059111686774,0.7201523989345561
DRIVE,29,CA-APSRG,0.9269716553238104,0.6763457884737175,0.7700266782031869,0.9487851441341678,0.7201523989345561,0.5626860560077979,0.0512148558658322,0.229973321796813,0.8594059111686774,0.7201523989345561
DRIVE,30,APSRG Baseline,0.93058140711699,0.6852918516344425,0.7218379255709704,0.9574043360379776,0.703090299996236,0.5421274125671165,0.0425956639620224,0.2781620744290296,0.839621130804474,0.703090299996236
DRIVE,30,CA-APSRG,0.9306166092431984,0.6854930456163529,0.7218379255709704,0.9574440615347946,0.7031961751308211,0.5422533166894069,0.0425559384652054,0.2781620744290296,0.8396409935528825,0.7031961751308211
DRIVE,31,APSRG Baseline,0.927374056328255,0.5599015902445982,0.7892144544403679,0.9406026832977228,0.6550695617712701,0.4870657568238213,0.0593973167022771,0.2107855455596321,0.8649085688690454,0.6550695617712701
DRIVE,31,CA-APSRG,0.927374056328255,0.5599015902445982,0.7892144544403679,0.9406026832977228,0.6550695617712701,0.4870657568238213,0.0593973167022771,0.2107855455596321,0.8649085688690454,0.6550695617712701
DRIVE,32,APSRG Baseline,0.9331433601251868,0.7085214348206474,0.7510758272740763,0.9579317938460916,0.7291782968071888,0.5737848944310614,0.0420682061539083,0.2489241727259237,0.854503810560084,0.7291782968071888
DRIVE,32,CA-APSRG,0.9331433601251868,0.7085214348206474,0.7510758272740763,0.9579317938460916,0.7291782968071888,0.5737848944310614,0.0420682061539083,0.2489241727259237,0.854503810560084,0.7291782968071888
DRIVE,33,APSRG Baseline,0.9317856484205534,0.6839672477548864,0.7764908729712507,0.9523920839156664,0.7272982603963698,0.5714600976524785,0.0476079160843334,0.2235091270287492,0.8644414784434586,0.7272982603963698
DRIVE,33,CA-APSRG,0.9317856484205534,0.6839672477548864,0.7764908729712507,0.9523920839156664,0.7272982603963698,0.5714600976524785,0.0476079160843334,0.2235091270287492,0.8644414784434586,0.7272982603963698
DRIVE,34,APSRG Baseline,0.8966858242621677,0.6576611758023289,0.573760336977731,0.9503590641167536,0.6128525349433462,0.4418077748628667,0.0496409358832462,0.426239663022269,0.7620597005472424,0.6128525349433462
DRIVE,34,CA-APSRG,0.8966460965295618,0.6575517596505558,0.5734815870164462,0.9503590641167536,0.6126459980809318,0.441593131409492,0.0496409358832462,0.4265184129835537,0.7619203255666,0.6126459980809318
DRIVE,35,APSRG Baseline,0.931191411226202,0.6950234968068442,0.8063749475744443,0.949134318759609,0.746570023297955,0.5956216439487815,0.050865681240391,0.1936250524255557,0.8777546331670266,0.746570023297955
DRIVE,35,CA-APSRG,0.931191411226202,0.6950234968068442,0.8063749475744443,0.949134318759609,0.746570023297955,0.5956216439487815,0.050865681240391,0.1936250524255557,0.8777546331670266,0.746570023297955
DRIVE,36,APSRG Baseline,0.9187604800697132,0.7712737802409939,0.6903076580091405,0.9616062048888588,0.7285481095866237,0.5730048577376822,0.0383937951111413,0.3096923419908594,0.8259569314489996,0.7285481095866237
DRIVE,36,CA-APSRG,0.9187604800697132,0.7712737802409939,0.6903076580091405,0.9616062048888588,0.7285481095866237,0.5730048577376822,0.0383937951111413,0.3096923419908594,0.8259569314489996,0.7285481095866237
DRIVE,37,APSRG Baseline,0.92356043066034,0.6852898433715485,0.7357581221178184,0.9508684363104692,0.7096277965421529,0.5499403928886124,0.0491315636895308,0.2642418778821816,0.8433132792141438,0.7096277965421529
DRIVE,37,CA-APSRG,0.92356043066034,0.6852898433715485,0.7357581221178184,0.9508684363104692,0.7096277965421529,0.5499403928886124,0.0491315636895308,0.2642418778821816,0.8433132792141438,0.7096277965421529
DRIVE,38,APSRG Baseline,0.9270015559799136,0.6770145896836436,0.8033500719879201,0.944808265106424,0.734791546219567,0.5807671803203778,0.0551917348935761,0.1966499280120799,0.874079168547172,0.734791546219567
DRIVE,38,CA-APSRG,0.9270015559799136,0.6770145896836436,0.8033500719879201,0.944808265106424,0.734791546219567,0.5807671803203778,0.0551917348935761,0.1966499280120799,0.874079168547172,0.734791546219567
DRIVE,39,APSRG Baseline,0.9236041501802514,0.6656700190269095,0.7775151686185975,0.9444031499859376,0.7172586602450414,0.5591607894870364,0.0555968500140624,0.2224848313814025,0.8609591593022675,0.7172586602450414
DRIVE,39,CA-APSRG,0.9236041501802514,0.6656700190269095,0.7775151686185975,0.9444031499859376,0.7172586602450414,0.5591607894870364,0.0555968500140624,0.2224848313814025,0.8609591593022675,0.7172586602450414
DRIVE,40,APSRG Baseline,0.93211997849974,0.6575256987093172,0.80084,0.9483695921257193,0.722141066565673,0.5651179857739641,0.0516304078742808,0.19916,0.8746047960628596,0.722141066565673
DRIVE,40,CA-APSRG,0.93211997849974,0.6575256987093172,0.80084,0.9483695921257193,0.722141066565673,0.5651179857739641,0.0516304078742808,0.19916,0.8746047960628596,0.722141066565673
STARE,im0001,APSRG Baseline,0.9086540731995276,0.4573974609375,0.7760288765939821,0.920156735548536,0.5755570916033047,0.404057676310195,0.079843264451464,0.2239711234060179,0.848092806071259,0.5755570916033047
STARE,im0001,CA-APSRG,0.9086800472255018,0.4574852179373136,0.7760288765939821,0.9201849623172638,0.5756265636658913,0.4041261574965718,0.0798150376827362,0.2239711234060179,0.848106919455623,0.5756265636658913
STARE,im0002,APSRG Baseline,0.9253152302243212,0.4626298786344189,0.7514270519411452,0.9377224604409364,0.5726792493616332,0.4012267383526116,0.0622775395590634,0.2485729480588548,0.8445747561910408,0.5726792493616332
STARE,im0002,CA-APSRG,0.9253152302243212,0.4626298786344189,0.7514270519411452,0.9377224604409364,0.5726792493616332,0.4012267383526116,0.0622775395590634,0.2485729480588548,0.8445747561910408,0.5726792493616332
STARE,im0003,APSRG Baseline,0.92913813459268,0.4467380631607791,0.7719076740974551,0.939146814682724,0.5659405826029101,0.39464235284625,0.0608531853172759,0.2280923259025448,0.8555272443900896,0.5659405826029101
STARE,im0003,CA-APSRG,0.92913813459268,0.4467380631607791,0.7719076740974551,0.939146814682724,0.5659405826029101,0.39464235284625,0.0608531853172759,0.2280923259025448,0.8555272443900896,0.5659405826029101
STARE,im0004,APSRG Baseline,0.9450011806375442,0.626502638398851,0.6391145086797261,0.9694928654314532,0.6327457349184825,0.4627857093433586,0.0305071345685466,0.3608854913202739,0.8043036870555897,0.6327457349184825
STARE,im0004,CA-APSRG,0.9450011806375442,0.626502638398851,0.6391145086797261,0.9694928654314532,0.6327457349184825,0.4627857093433586,0.0305071345685466,0.3608854913202739,0.8043036870555897,0.6327457349184825
STARE,im0005,APSRG Baseline,0.91928453364817,0.5376330180313331,0.7606712497059361,0.9350358085675794,0.6299940466525951,0.4598476708172682,0.0649641914324205,0.2393287502940638,0.8478535291367577,0.6299940466525951
STARE,im0005,CA-APSRG,0.9193175914994096,0.5377721107292013,0.7606712497059361,0.9350721492668264,0.6300895302638274,0.4599494231073178,0.0649278507331736,0.2393287502940638,0.8478716994863813,0.6300895302638274
STARE,im0044,APSRG Baseline,0.9361700118063756,0.525126448033937,0.8729319229726065,0.9409041532573272,0.6557660961695192,0.487836301629405,0.0590958467426726,0.1270680770273935,0.9069180381149669,0.6557660961695192
STARE,im0044,CA-APSRG,0.9361700118063756,0.525126448033937,0.8729319229726065,0.9409041532573272,0.6557660961695192,0.487836301629405,0.0590958467426726,0.1270680770273935,0.9069180381149669,0.6557660961695192
STARE,im0077,APSRG Baseline,0.923107438016529,0.5111535906948111,0.9296426151262484,0.9225380494353872,0.659621615971569,0.4921159754823214,0.0774619505646128,0.0703573848737515,0.9260903322808178,0.659621615971569
STARE,im0077,CA-APSRG,0.923107438016529,0.5111535906948111,0.9296426151262484,0.9225380494353872,0.659621615971569,0.4921159754823214,0.0774619505646128,0.0703573848737515,0.9260903322808178,0.659621615971569
