experiment,experiment_label,dataset,output_method,accuracy,f1_score,iou,precision,recall
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,0.9397104693979694,0.38879723314301995,0.24677140180412085,0.6595419131571759,0.29470319749434887
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,CA-APSRG,0.9397153105486439,0.38881678818692084,0.24678721258731803,0.6596537543275055,0.29470319749434887
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,DRIVE,APSRG,0.9042210788780451,0.4646483705253129,0.3085647523567675,0.7730172536709097,0.3434700676719785
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,DRIVE,CA-APSRG,0.9042069580404254,0.46443219785089884,0.3083688642744414,0.7731312833725199,0.3432070862418651
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,STARE,APSRG,0.9398964580873672,0.49719090516842046,0.3410957123167063,0.6735353922593128,0.42283698954848115
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,STARE,CA-APSRG,0.9399042502951594,0.4971701277860642,0.3410761267002623,0.6737428784878815,0.422754892210239
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,CHASEDB1,APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,CHASEDB1,CA-APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,DRIVE,APSRG,0.880278996904582,0.14427579519351624,0.07953694309786402,0.7372449178482925,0.08352552554342076
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,DRIVE,CA-APSRG,0.8802778973364924,0.14426053514659998,0.07952541121254678,0.7372455828168734,0.08351131382032828
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,STARE,APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,STARE,CA-APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,CHASEDB1,APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,CHASEDB1,CA-APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,DRIVE,APSRG,0.880278996904582,0.14427579519351624,0.07953694309786402,0.7372449178482925,0.08352552554342076
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,DRIVE,CA-APSRG,0.8802778973364924,0.14426053514659998,0.07952541121254678,0.7372455828168734,0.08351131382032828
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,STARE,APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,STARE,CA-APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a07_process_context_override,A07 - Full CA-APSRG with process-context override,CHASEDB1,APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a07_process_context_override,A07 - Full CA-APSRG with process-context override,CHASEDB1,CA-APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a07_process_context_override,A07 - Full CA-APSRG with process-context override,DRIVE,APSRG,0.880278996904582,0.14427579519351624,0.07953694309786402,0.7372449178482925,0.08352552554342076
a07_process_context_override,A07 - Full CA-APSRG with process-context override,DRIVE,CA-APSRG,0.8802778973364924,0.14426053514659998,0.07952541121254678,0.7372455828168734,0.08351131382032828
a07_process_context_override,A07 - Full CA-APSRG with process-context override,STARE,APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a07_process_context_override,A07 - Full CA-APSRG with process-context override,STARE,CA-APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
