experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,f1_score,20,-0.19958895580573063,-0.21573850178086196,0.06626080395694696,0,0,20,0.0,1.9073486328125e-06,-0.22775665616652374,-0.17089984057922494
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,f1_score,20,-0.11985479683367006,-0.1263070300429352,0.13541921703780063,3,0,17,23.0,0.001209259033203125,-0.17654296288378304,-0.061328637931796354
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,iou,28,-0.08814936213159155,-0.11336017120745709,0.08745578692655692,4,0,24,37.0,4.2110681533813477e-05,-0.11889943806967358,-0.05528627166423455
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,iou,20,-0.202266548405015,-0.2070171460770097,0.061717190889356545,0,0,20,0.0,1.9073486328125e-06,-0.22830854751350982,-0.17537788293711593
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,iou,20,-0.12319991745892016,-0.14487754752572082,0.12700327423828678,3,0,17,22.0,0.0010166168212890625,-0.17824392646749881,-0.06830018705754626
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.14953922416601426,-0.15975562782490305,0.044111252836055,0,0,28,0.0,7.450580596923828e-09,-0.16525234246397275,-0.13380074898315908
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,balanced_accuracy,20,-0.1473924119154481,-0.14581707193781424,0.03761244894555261,0,0,20,0.0,1.9073486328125e-06,-0.16312762525151783,-0.1314555474919053
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,balanced_accuracy,20,-0.17441034376457404,-0.16437537083217468,0.06088516140304463,0,0,20,0.0,1.9073486328125e-06,-0.20076800268937975,-0.1496890637441329
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",CHASEDB1,CA-APSRG,dice,28,-0.10263026179244801,-0.12274069716316205,0.10100474041811454,4,0,24,36.0,3.663450479507446e-05,-0.13775941995864846,-0.06516788113712296
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",DRIVE,CA-APSRG,dice,20,-0.19958895580573063,-0.21573850178086196,0.06626080395694696,0,0,20,0.0,1.9073486328125e-06,-0.22715530427400374,-0.17157735128168766
r01_selective35_bfs,"R01 - Selective fuzzy-Harris, 35 seeds, radius 0, BFS",STARE,CA-APSRG,dice,20,-0.11985479683367006,-0.1263070300429352,0.13541921703780063,3,0,17,23.0,0.001209259033203125,-0.17821626064729426,-0.06172808414258592
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,accuracy,28,0.025970464512131152,0.024870182682682596,0.0067537132435249595,28,0,0,0.0,7.450580596923828e-09,0.023586427759604848,0.028368253856535113
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,accuracy,20,-0.012016941655563546,-0.016728866295497524,0.014630097752133588,3,0,17,28.0,0.002712249755859375,-0.017760516046459538,-0.005313559384912029
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,accuracy,20,0.014939197166469919,0.006148760330578651,0.027730895941688993,13,0,7,56.0,0.069580078125,0.0039529693034238735,0.027390971074380197
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,precision,28,0.21604796896525214,0.23263560847499434,0.044675804610364536,28,0,0,0.0,7.450580596923828e-09,0.19914368778441627,0.23141181883795736
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,precision,20,0.062085111211107866,0.05705110588545881,0.06691853932625257,15,0,5,23.0,0.001209259033203125,0.034322731016546086,0.09071819734159983
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,precision,20,0.15655258105948472,0.13029510523532967,0.10745554164061352,19,0,1,1.0,3.814697265625e-06,0.1121807771516033,0.20376511270308229
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,recall,28,-0.2537514561077436,-0.2651083864012125,0.061381348522276016,0,0,28,0.0,7.450580596923828e-09,-0.2753848407018896,-0.23091649264116584
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,recall,20,-0.2524241019831192,-0.2420883607626255,0.05689748494146341,0,0,20,0.0,1.9073486328125e-06,-0.2781222601003734,-0.22832621053472138
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,recall,20,-0.33006732456980925,-0.3452748865039136,0.07646129502050084,0,0,20,0.0,1.9073486328125e-06,-0.3620840071461826,-0.29598051461772584
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,specificity,28,0.04701297395305235,0.04781002479567226,0.004686977707552434,28,0,0,0.0,7.450580596923828e-09,0.045286104798513284,0.04877905323018832
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,specificity,20,0.02194088023664955,0.021409888348490114,0.01303439361347266,20,0,0,0.0,1.9073486328125e-06,0.01682533321462265,0.027656480125461826
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,specificity,20,0.04331106192935659,0.03451734852831201,0.02318945222171285,20,0,0,0.0,1.9073486328125e-06,0.033890075425867916,0.053563452221544516
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,f1_score,28,-0.01668860212005279,-0.024026269398772004,0.06292195493843922,10,0,18,140.0,0.156909741461277,-0.03899713972158419,0.0061543754895936826
