experiment,experiment_label,dataset,output_method,accuracy,f1_score,iou,precision,recall
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,0.9365225344392012,0.28373194094695564,0.1666008546611768,0.6722104667214202,0.18498590955105762
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,0.9365241729825062,0.2837320273918769,0.166601136035034,0.6722445347199845,0.18497910274149834
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,0.8915361156237012,0.3062983032464069,0.18298002294816687,0.8062833529848821,0.1945026244237218
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,0.8915147932833584,0.3058462175623637,0.18267413804427526,0.8063513929119794,0.19412530702867087
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,0.932694451003542,0.31083580605892197,0.1874775321479698,0.7849399144913042,0.21034274083668109
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,0.9327028335301062,0.31085027606645255,0.18748664638264342,0.7850804184104523,0.21034274083668109
r04_local_or_region,R04 - Selective 77/radius 1 with local-or-region acceptance,CHASEDB1,APSRG,0.9449179834596502,0.6015432259290004,0.43181698040025845,0.6036057431831985,0.6088763400221177
r04_local_or_region,R04 - Selective 77/radius 1 with local-or-region acceptance,CHASEDB1,CA-APSRG,0.944920962629296,0.6015549080289759,0.4318288926604811,0.6036330113792955,0.6088734373656065
r04_local_or_region,R04 - Selective 77/radius 1 with local-or-region acceptance,DRIVE,APSRG,0.9238063873098588,0.7055638608052335,0.5472864188468052,0.6803941440231898,0.7398640558641143
r04_local_or_region,R04 - Selective 77/radius 1 with local-or-region acceptance,DRIVE,CA-APSRG,0.9238070388924694,0.7055602486527588,0.547283743261098,0.6804036234465183,0.7398466785118999
r04_local_or_region,R04 - Selective 77/radius 1 with local-or-region acceptance,STARE,APSRG,0.9307005903187721,0.6434450129892931,0.4764579269760388,0.5262081798277326,0.8393132522663016
r04_local_or_region,R04 - Selective 77/radius 1 with local-or-region acceptance,STARE,CA-APSRG,0.9307085005903188,0.643469132881809,0.47648558828878074,0.5262426434384722,0.8393132522663016
r05_local_or_region_hybrid_priority,R05 - R04 with hybrid edge priority,CHASEDB1,APSRG,0.944922787370704,0.6015119500447892,0.4317836499922176,0.6036563482578508,0.608736934973679
r05_local_or_region_hybrid_priority,R05 - R04 with hybrid edge priority,CHASEDB1,CA-APSRG,0.9449257665403499,0.6015236338015969,0.4317955662115394,0.6036836242705458,0.6087340323171676
r05_local_or_region_hybrid_priority,R05 - R04 with hybrid edge priority,DRIVE,APSRG,0.9239491911700748,0.7061293947743199,0.5479536978850239,0.6804945374763506,0.7403834091823545
r05_local_or_region_hybrid_priority,R05 - R04 with hybrid edge priority,DRIVE,CA-APSRG,0.9239498427526854,0.7061258075008153,0.5479510491666824,0.6805041045548164,0.7403660318301399
r05_local_or_region_hybrid_priority,R05 - R04 with hybrid edge priority,STARE,APSRG,0.9304038961038961,0.6424214335703999,0.4753251950392382,0.5252368064701958,0.8388763018007316
r05_local_or_region_hybrid_priority,R05 - R04 with hybrid edge priority,STARE,CA-APSRG,0.9304118063754426,0.6424456380534118,0.4753529916668321,0.5252715245719003,0.8388763018007316
r06_local_or_region_process_override,R06 - R04 with process-context refinement override,CHASEDB1,APSRG,0.9449179834596502,0.6015432259290004,0.43181698040025845,0.6036057431831985,0.6088763400221177
r06_local_or_region_process_override,R06 - R04 with process-context refinement override,CHASEDB1,CA-APSRG,0.944920962629296,0.6015549080289759,0.4318288926604811,0.6036330113792955,0.6088734373656065
r06_local_or_region_process_override,R06 - R04 with process-context refinement override,DRIVE,APSRG,0.9238063873098588,0.7055638608052335,0.5472864188468052,0.6803941440231898,0.7398640558641143
r06_local_or_region_process_override,R06 - R04 with process-context refinement override,DRIVE,CA-APSRG,0.9238070388924694,0.7055602486527588,0.547283743261098,0.6804036234465183,0.7398466785118999
r06_local_or_region_process_override,R06 - R04 with process-context refinement override,STARE,APSRG,0.9307005903187721,0.6434450129892931,0.4764579269760388,0.5262081798277326,0.8393132522663016
r06_local_or_region_process_override,R06 - R04 with process-context refinement override,STARE,CA-APSRG,0.9307085005903188,0.643469132881809,0.47648558828878074,0.5262426434384722,0.8393132522663016
