comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,recall,20,-0.24732329167745606,-0.23582679372350301,0.0525324643973218,0,0,20,0.0,1.9073486328125e-06,-0.2707351747324617,-0.22672411422575015
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,recall,20,-0.294438785617899,-0.2969960165989106,0.07886239313699031,0,0,20,0.0,1.9073486328125e-06,-0.327994369981429,-0.2604862708169676
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,specificity,28,0.009699079594603937,0.00814667041090289,0.004099999543363841,28,0,0,0.0,7.450580596923828e-09,0.008303376111733821,0.011262949949743915
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,specificity,20,0.011337710226885128,0.0087229449927268,0.005988093261372486,20,0,0,0.0,1.9073486328125e-06,0.008999710073805426,0.01411927311473575
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,specificity,20,0.012966263817574708,0.012909700046583594,0.00691732216406175,20,0,0,0.0,1.9073486328125e-06,0.010061338910983137,0.015925819604253218
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,f1_score,28,-0.24645213279775402,-0.2607678083381676,0.048452398883833764,0,0,28,0.0,7.450580596923828e-09,-0.26386394373811095,-0.22904276890199732
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,f1_score,20,-0.25007975343520783,-0.24668068462812115,0.06525461855397292,0,0,20,0.0,1.9073486328125e-06,-0.27947058791114465,-0.22273362369421076
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,f1_score,20,-0.26032795110133894,-0.26946038489505597,0.0865331267575286,0,0,20,0.0,1.9073486328125e-06,-0.2976207006830202,-0.22279418132389814
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,iou,28,-0.19634519514674212,-0.20339090165215495,0.041914327012137265,0,0,28,0.0,7.450580596923828e-09,-0.21153640125837972,-0.18075274639481653
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,iou,20,-0.20433877928391078,-0.1993824687603245,0.05216099703625181,0,0,20,0.0,1.9073486328125e-06,-0.2265090022701003,-0.18203351324938466
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,iou,20,-0.21447520317702412,-0.21109583939848045,0.07066947240019002,0,0,20,0.0,1.9073486328125e-06,-0.2445587177956125,-0.1838522650797843
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,balanced_accuracy,28,-0.12910188674000606,-0.12678283716885502,0.03275281178869356,0,0,28,0.0,7.450580596923828e-09,-0.14118594975571938,-0.11755867704273343
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,balanced_accuracy,20,-0.11799279072528543,-0.11401740612701472,0.025582279958798526,0,0,20,0.0,1.9073486328125e-06,-0.1296848175320826,-0.10758813566866408
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,balanced_accuracy,20,-0.14073626090016209,-0.13916028909786055,0.03749739412508308,0,0,20,0.0,1.9073486328125e-06,-0.15670859795061903,-0.12481119714250506
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,APSRG,dice,28,-0.24645213279775402,-0.2607678083381676,0.048452398883833764,0,0,28,0.0,7.450580596923828e-09,-0.2636804792609371,-0.22893484338479025
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,APSRG,dice,20,-0.25007975343520783,-0.24668068462812115,0.06525461855397292,0,0,20,0.0,1.9073486328125e-06,-0.27759765309413237,-0.22271920185122043
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,dice,20,-0.26032795110133894,-0.26946038489505597,0.0865331267575286,0,0,20,0.0,1.9073486328125e-06,-0.29591173227581025,-0.22229679867827717
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,accuracy,28,-0.009167575313408656,-0.009332248915582264,0.004790553984617833,1,0,27,2.0,2.2351741790771484e-08,-0.010935210694325289,-0.00742707085806043
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,accuracy,20,-0.021106219783010405,-0.020842980117736498,0.010353157560095807,1,0,19,2.0,5.7220458984375e-06,-0.025480258066883723,-0.016606754813150437
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,accuracy,20,-0.010891145218418007,-0.011064935064935166,0.008906559340383263,3,0,17,7.0,3.62396240234375e-05,-0.014741053719008378,-0.007213786894923307
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,precision,28,0.00599028082721175,0.003365834645035537,0.07683316455848793,15,0,13,196.0,0.8841757625341415,-0.021178878293113393,0.034650479681742
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,precision,20,0.03304042061685829,0.008714857597483139,0.08711785735694821,12,0,8,71.0,0.21616744995117188,-0.0031504303814334413,0.0714634853812796
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,precision,20,0.09288677096600892,0.11325881441680596,0.15533624612463806,14,0,6,44.0,0.021484375,0.02832847440457364,0.15579003385763918
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,recall,28,-0.26789815157105806,-0.263458355858585,0.06831381164817063,0,0,28,0.0,7.450580596923828e-09,-0.293648993147243,-0.24375873706667395
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,recall,20,-0.24757380645281826,-0.23582679372350301,0.052414878254130326,0,0,20,0.0,1.9073486328125e-06,-0.27177654247499283,-0.22639195957198774
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,recall,20,-0.2944111809766681,-0.29689146056994853,0.07884732286925207,0,0,20,0.0,1.9073486328125e-06,-0.3276903167029442,-0.26125468643128724
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,specificity,28,0.009692212550355359,0.008125996177024808,0.00410263795029841,28,0,0,0.0,7.450580596923828e-09,0.008276608867012095,0.011308115330618313
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,specificity,20,0.011355364220417007,0.008750674454018947,0.005984645938628784,20,0,0,0.0,1.9073486328125e-06,0.008989221264008631,0.01414725774394786
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,specificity,20,0.012964401346589794,0.012911820003055408,0.0069194930686247375,20,0,0,0.0,1.9073486328125e-06,0.00997941619991929,0.01587616145758671
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,f1_score,28,-0.24647783516096428,-0.2608632181003564,0.04844128438432548,0,0,28,0.0,7.450580596923828e-09,-0.263626587956023,-0.22949785534566922
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,f1_score,20,-0.2504410488214871,-0.2466818775485078,0.06509538801957271,0,0,20,0.0,1.9073486328125e-06,-0.2785417342380634,-0.22266483138810367
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,f1_score,20,-0.26032412892645096,-0.26946038489505597,0.08652967993303975,0,0,20,0.0,1.9073486328125e-06,-0.2960903117950328,-0.22311421141029225
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,iou,28,-0.19636833512965585,-0.20341979863810666,0.04190448434491887,0,0,28,0.0,7.450580596923828e-09,-0.21157436505358598,-0.18103915090111503
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,iou,20,-0.20455977111802953,-0.1993824687603245,0.052019432640618486,0,0,20,0.0,1.9073486328125e-06,-0.2272633922952711,-0.1832114786501097
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,iou,20,-0.21447724125262782,-0.21109773564233636,0.07067394915246511,0,0,20,0.0,1.9073486328125e-06,-0.24455730266030865,-0.18381910667765325
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.12910296951035138,-0.12678706933057554,0.03275225136616348,0,0,28,0.0,7.450580596923828e-09,-0.1413198940277097,-0.11771639701340719
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,balanced_accuracy,20,-0.11810922111620059,-0.11401740612701472,0.025515427794850797,0,0,20,0.0,1.9073486328125e-06,-0.12981140951887507,-0.1080345456891323
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,balanced_accuracy,20,-0.14072338981503912,-0.1391067132012635,0.037490829182491185,0,0,20,0.0,1.9073486328125e-06,-0.15612460300936684,-0.12445629576548418
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,CHASEDB1,CA-APSRG,dice,28,-0.24647783516096428,-0.2608632181003564,0.04844128438432548,0,0,28,0.0,7.450580596923828e-09,-0.2646415254744883,-0.22907472993808295
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,DRIVE,CA-APSRG,dice,20,-0.2504410488214871,-0.2466818775485078,0.06509538801957271,0,0,20,0.0,1.9073486328125e-06,-0.27828439290737234,-0.22297916745489965
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,dice,20,-0.26032412892645096,-0.26946038489505597,0.08652967993303975,0,0,20,0.0,1.9073486328125e-06,-0.29734975750361764,-0.2210099702752677
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,accuracy,28,0.008395449020449046,0.009004316816816738,0.007825818802494845,22,0,6,29.0,1.2949109077453613e-05,0.005578796802755134,0.011212589077172432
