dataset,image_id,image_path,value,experiment,experiment_label,output_method,metric
DRIVE,34,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\34_training.png,0.8919802950446275,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,35,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\35_training.png,0.9408950739305764,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,36,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\36_training.png,0.9206001311521586,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,37,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\37_training.png,0.9258272956960376,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,38,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\38_training.png,0.9377077586816608,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,39,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\39_training.png,0.9353292886661392,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
DRIVE,40,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\40_training.png,0.9473728268436032,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0001,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0001.png,0.9143069657615112,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0002,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0002.png,0.9103659976387248,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0003,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0003.png,0.9122172373081464,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0004,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0004.png,0.904094451003542,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0005,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0005.png,0.9257260920897284,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0044,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0044.png,0.9362786304604488,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0077,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0077.png,0.9521133412042504,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0081,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0081.png,0.9413695395513576,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0082,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0082.png,0.9554899645808737,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0139,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0139.png,0.9349468713105076,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0162,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0162.png,0.9344746162927982,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0163,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0163.png,0.9637260920897284,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0235,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0235.png,0.9504321133412044,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0236,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0236.png,0.94756080283353,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0239,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0239.png,0.9407910271546636,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0240,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0240.png,0.9345643447461628,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0255,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0255.png,0.9515064935064936,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0291,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0291.png,0.874866587957497,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0319,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0319.png,0.8811074380165289,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
STARE,im0324,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0324.png,0.9070059031877212,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,accuracy
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,0.4424940722509218,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,0.4579076574450004,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,0.4558695753725417,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,0.4462887936120835,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,0.5546755831220389,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,0.5088088699013326,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,0.4678944479932343,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,0.448739511590104,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,0.5139055491154679,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,0.5622372417677469,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06L.png,0.4795178322374975,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_06R.png,0.4618276236242443,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_07L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07L.png,0.4742065290289837,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_07R.png,0.4832921684141735,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_08L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08L.png,0.4629463872341739,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_08R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_08R.png,0.4358779566360052,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_09L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_09L.png,0.3845475619662776,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_09R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_09R.png,0.391737302404341,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_10L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_10L.png,0.3927510505723808,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_10R.png,0.4138048966946305,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_11L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_11L.png,0.3782194359800477,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_11R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_11R.png,0.3828380602071435,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_12L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_12L.png,0.4527820772314164,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_12R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_12R.png,0.4778482499412732,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_13L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_13L.png,0.4097659976431417,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_13R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_13R.png,0.4326935737073986,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_14L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_14L.png,0.4648138893516205,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
CHASEDB1,Image_14R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_14R.png,0.3639623808712647,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,21,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\21_training.png,0.7070733532934131,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,22,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\22_training.png,0.7409298085688241,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,23,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\23_training.png,0.4113071638267607,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,24,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\24_training.png,0.869684654173252,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,25,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\25_training.png,0.7072819033886085,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,26,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\26_training.png,0.667556285499213,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,27,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\27_training.png,0.7115584983026921,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,28,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\28_training.png,0.8124927209907217,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,29,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\29_training.png,0.7021337946943483,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,30,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\30_training.png,0.64375,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,31,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\31_training.png,0.4763521857248703,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,32,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\32_training.png,0.770721649484536,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,33,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\33_training.png,0.7700427139806144,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,34,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\34_training.png,0.6243081620968255,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,35,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\35_training.png,0.7999366762971465,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,36,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\36_training.png,0.8220409341948526,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,37,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\37_training.png,0.7103951709131747,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,38,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\38_training.png,0.7554608417687799,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
